Threshold,AUC
0,-0.982213
0.001,-0.982213
0.002,-0.982213
0.003,-0.982213
0.004,-0.982213
0.005,-0.982213
0.006,-0.982213
0.007,-0.982213
0.008,-0.982213
0.009,-0.982213
0.01,-0.982213
0.011,-0.982213
0.012,-0.982213
0.013,-0.982213
0.014,-0.982213
0.015,-0.982213
0.016,-0.982213
0.017,-0.982213
0.018,-0.982213
0.019,-0.982213
0.02,-0.982213
0.021,-0.982213
0.022,-0.982213
0.023,-0.982213
0.024,-0.982213
0.025,-0.982213
0.026,-0.982213
0.027,-0.982213
0.028,-0.982213
0.029,-0.982213
0.03,-0.982213
0.031,-0.982213
0.032,-0.982213
0.033,-0.982213
0.034,-0.982213
0.035,-0.982213
0.036,-0.982213
0.037,-0.982213
0.038,-0.982213
0.039,-0.982213
0.04,-0.982213
0.041,-0.982213
0.042,-0.982213
0.043,-0.982213
0.044,-0.982213
0.045,-0.982213
0.046,-0.982213
0.047,-0.982213
0.048,-0.982213
0.049,-0.982213
0.05,-0.982213
0.051,-0.982213
0.052,-0.982213
0.053,-0.982213
0.054,-0.982213
0.055,-0.982213
0.056,-0.982213
0.057,-0.982213
0.058,-0.982213
0.059,-0.982213
0.06,-0.982213
0.061,-0.982213
0.062,-0.982213
0.063,-0.982213
0.064,-0.982213
0.065,-0.982213
0.066,-0.982213
0.067,-0.982213
0.068,-0.982213
0.069,-0.982213
0.07,-0.982213
0.071,-0.982213
0.072,-0.982213
0.073,-0.982213
0.074,-0.982213
0.075,-0.982213
0.076,-0.982213
0.077,-0.982213
0.078,-0.982213
0.079,-0.982213
0.08,-0.982213
0.081,-0.982213
0.082,-0.982213
0.083,-0.982213
0.084,-0.982213
0.085,-0.982213
0.086,-0.982213
0.087,-0.982213
0.088,-0.982213
0.089,-0.982213
0.09,-0.982213
0.091,-0.982213
0.092,-0.982213
0.093,-0.982213
0.094,-0.982213
0.095,-0.982213
0.096,-0.982213
0.097,-0.982213
0.098,-0.982213
0.099,-0.982213
0.1,-0.982213
0.101,-0.982213
0.102,-0.982213
0.103,-0.982213
0.104,-0.982213
0.105,-0.982213
0.106,-0.982213
0.107,-0.982213
0.108,-0.982213
0.109,-0.982213
0.11,-0.982213
0.111,-0.982213
0.112,-0.982213
0.113,-0.982213
0.114,-0.982213
0.115,-0.982213
0.116,-0.982213
0.117,-0.982213
0.118,-0.982213
0.119,-0.982213
0.12,-0.982213
0.121,-0.982213
0.122,-0.982213
0.123,-0.982213
0.124,-0.982213
0.125,-0.982213
0.126,-0.982213
0.127,-0.982213
0.128,-0.982213
0.129,-0.982213
0.13,-0.982213
0.131,-0.982213
0.132,-0.982213
0.133,-0.982213
0.134,-0.982213
0.135,-0.982213
0.136,-0.982213
0.137,-0.982213
0.138,-0.982213
0.139,-0.982213
0.14,-0.982213
0.141,-0.982213
0.142,-0.982213
0.143,-0.982213
0.144,-0.982213
0.145,-0.982213
0.146,-0.982213
0.147,-0.982213
0.148,-0.982213
0.149,-0.982213
0.15,-0.982213
0.151,-0.982213
0.152,-0.982213
0.153,-0.982213
0.154,-0.982213
0.155,-0.982213
0.156,-0.982213
0.157,-0.982213
0.158,-0.982213
0.159,-0.982213
0.16,-0.982213
0.161,-0.982213
0.162,-0.982213
0.163,-0.982213
0.164,-0.982213
0.165,-0.982213
0.166,-0.982213
0.167,-0.982213
0.168,-0.982213
0.169,-0.982213
0.17,-0.982213
0.171,-0.982213
0.172,-0.982213
0.173,-0.982213
0.174,-0.982213
0.175,-0.982213
0.176,-0.982213
0.177,-0.982213
0.178,-0.982213
0.179,-0.982213
0.18,-0.982213
0.181,-0.982213
0.182,-0.982213
0.183,-0.982213
0.184,-0.982213
0.185,-0.982213
0.186,-0.982213
0.187,-0.982213
0.188,-0.982213
0.189,-0.982213
0.19,-0.982213
0.191,-0.982213
0.192,-0.982213
0.193,-0.982213
0.194,-0.982213
0.195,-0.982213
0.196,-0.982213
0.197,-0.982213
0.198,-0.982213
0.199,-0.982213
0.2,-0.982213
0.201,-0.982213
0.202,-0.982213
0.203,-0.982213
0.204,-0.982213
0.205,-0.982213
0.206,-0.982213
0.207,-0.982213
0.208,-0.982213
0.209,-0.982213
0.21,-0.982213
0.211,-0.982213
0.212,-0.982213
0.213,-0.982213
0.214,-0.982213
0.215,-0.982213
0.216,-0.982213
0.217,-0.982213
0.218,-0.982213
0.219,-0.982213
0.22,-0.982213
0.221,-0.982213
0.222,-0.982213
0.223,-0.982213
0.224,-0.982213
0.225,-0.982213
0.226,-0.982213
0.227,-0.982213
0.228,-0.982213
0.229,-0.982213
0.23,-0.982213
0.231,-0.982213
0.232,-0.982213
0.233,-0.982213
0.234,-0.982213
0.235,-0.982213
0.236,-0.982213
0.237,-0.982213
0.238,-0.982213
0.239,-0.982213
0.24,-0.982213
0.241,-0.982213
0.242,-0.982213
0.243,-0.982213
0.244,-0.982213
0.245,-0.982213
0.246,-0.982213
0.247,-0.982213
0.248,-0.982213
0.249,-0.982213
0.25,-0.982213
0.251,-0.982213
0.252,-0.982213
0.253,-0.982213
0.254,-0.982213
0.255,-0.982213
0.256,-0.982213
0.257,-0.982213
0.258,-0.982213
0.259,-0.982213
0.26,-0.982213
0.261,-0.982213
0.262,-0.982213
0.263,-0.982213
0.264,-0.982213
0.265,-0.982213
0.266,-0.982213
0.267,-0.982213
0.268,-0.982213
0.269,-0.982213
0.27,-0.982213
0.271,-0.982213
0.272,-0.982213
0.273,-0.982213
0.274,-0.982213
0.275,-0.982213
0.276,-0.982213
0.277,-0.982213
0.278,-0.982213
0.279,-0.982213
0.28,-0.982213
0.281,-0.982213
0.282,-0.982213
0.283,-0.982213
0.284,-0.982213
0.285,-0.982213
0.286,-0.982213
0.287,-0.982213
0.288,-0.982213
0.289,-0.982213
0.29,-0.982213
0.291,-0.982213
0.292,-0.982213
0.293,-0.982213
0.294,-0.982213
0.295,-0.982213
0.296,-0.982213
0.297,-0.982213
