编号,性别 男1女0,籍贯,身高(cm),体重(kg),鞋码,50米成绩,肺活量,喜欢颜色,喜欢运动,喜欢文学
64,1,山东,175.0,95.0,43.0,,,黑,0.0,1.0
311,1,浙江,184.0,78.0,43.0,7.5,8300,蓝,1.0,0.0
356,1,山东聊城,177.0,68.0,42.0,,,橙，蓝，黑,0.0,1.0
362,0.5,四川成都,169.0,60.0,39.0,9.3,2300,红，蓝,0.0,1.0
363,1,四川成都,200.0,200.0,38.0,10,2000,青,1.0,1.0
368,1,贵州省黔西南州,165.0,52.0,39.0,7.7,3500,红,,
403,0,山东东营,160.0,52.0,38.0,,3200,蓝 红 黑,0.0,1.0
416,0,河南安阳,158.0,57.0,38.0,×,×,红黄白,0.0,1.0
421,0,山西临汾,155.0,51.0,36.0,9,4500,绿色、黑色,,
436,1,四川内江,183.0,58.0,43.0,7.8,4500,蓝,,
596,1,四川,183.0,90.0,44.0,7.5,6000,黑,,
623,0,湖南,158.0,52.0,35.0,9,3800,,,1.0
625,"1

1",四川,170.0,60.0,41.0,7.7,4400,白,1.0,0.0
626,1,"四川

",180.0,70.0,42.0,8.3,4500,白,1.0,1.0
632,1,河北,175.0,72.0,41.0,7.8,570,白,1.0,1.0
643,1,四川,175.0,60.0,41.0,7.5,3000,蓝,,
660,1,云南,168.0,63.0,40.0,7.5,3500,蓝,,
712,1,广东,179.0,80.0,43.0,,,黑,0.0,0.0
745,1,四川,167.0,65.0,41.0,,,蓝色,0.0,1.0
771,0,云南,160.0,50.0,,10,3800,蓝,1.0,1.0
772,1,河南,178.0,64.0,42.0,7.3,,黑,1.0,1.0
800,1,河南,180.0,80.0,42.0,6.7,4500,米白,,
802,1,陈礼轩,176.0,,,,,,,
877,0,山西,160.0,55.0,37.5,u 10,4000,天空蓝,1.0,0.0
899,1,江西,175.0,75.0,40.0,7.1,420,蓝,1.0,0.0
913,1,北京,178.0,59.0,58.0,8,4000,绿色,0.0,0.0
403,0,山东东营,160.0,52.0,38.0,,3200,蓝 红 黑,0.0,1.0
416,0,河南安阳,158.0,57.0,38.0,×,×,红黄白,0.0,1.0
421,0,山西临汾,155.0,51.0,36.0,9,4500,绿色、黑色,,
623,0,湖南,158.0,52.0,35.0,9,3800,,,1.0
771,0,云南,160.0,50.0,,10,3800,蓝,1.0,1.0
877,0,山西,160.0,55.0,37.5,u 10,4000,天空蓝,1.0,0.0
403,0,山东东营,160.0,52.0,38.0,,3200,蓝 红 黑,0.0,1.0
416,0,河南安阳,158.0,57.0,38.0,×,×,红黄白,0.0,1.0
421,0,山西临汾,155.0,51.0,36.0,9,4500,绿色、黑色,,
623,0,湖南,158.0,52.0,35.0,9,3800,,,1.0
771,0,云南,160.0,50.0,,10,3800,蓝,1.0,1.0
877,0,山西,160.0,55.0,37.5,u 10,4000,天空蓝,1.0,0.0
403,0,山东东营,160.0,52.0,38.0,,3200,蓝 红 黑,0.0,1.0
416,0,河南安阳,158.0,57.0,38.0,×,×,红黄白,0.0,1.0
421,0,山西临汾,155.0,51.0,36.0,9,4500,绿色、黑色,,
623,0,湖南,158.0,52.0,35.0,9,3800,,,1.0
771,0,云南,160.0,50.0,,10,3800,蓝,1.0,1.0
