Accuracy,Sensitivity,Specificity,AUC,TP,FP,TN,FN
0.95082,0.954338,0.947115,0.950727,209,11,197,10
0.948478,0.957346,0.939815,0.94858,202,13,203,9
0.957845,0.966019,0.950226,0.958123,199,11,210,7
0.946136,0.967136,0.925234,0.946185,206,16,198,7
0.929742,0.873832,0.985915,0.929874,187,3,210,27
0.922717,0.867925,0.976744,0.922334,184,5,210,28
0.95082,0.945946,0.956098,0.951022,210,9,196,12
0.943794,0.976303,0.912037,0.94417,206,19,197,5
0.955504,0.959091,0.951691,0.955391,211,10,197,9
0.946136,0.956938,0.93578,0.946359,200,14,204,9
0.95082,0.953917,0.947619,0.950768,207,11,199,10
0.946136,0.965517,0.928571,0.947044,196,16,208,7
0.943794,0.971698,0.916279,0.943989,206,18,197,6
0.95082,0.959799,0.942982,0.951391,191,13,215,8
0.941452,0.946078,0.93722,0.941649,193,14,209,11
0.936768,0.948837,0.924528,0.936683,204,16,196,11
0.95082,0.945205,0.956731,0.950968,207,9,199,12
0.932084,0.986364,0.874396,0.93038,217,26,181,3
0.929742,0.977778,0.876238,0.927008,220,25,177,5
0.953162,0.949541,0.956938,0.95324,207,9,200,11
0.925059,0.954128,0.894737,0.924433,208,22,187,10
0.934426,0.890995,0.976852,0.933924,188,5,211,23
0.943794,0.939815,0.947867,0.943841,203,11,200,13
0.943794,0.986111,0.900474,0.943293,213,21,190,3
0.934426,0.906977,0.962264,0.93462,195,8,204,20
0.955504,0.971963,0.938967,0.955465,208,13,200,6
0.946136,0.941748,0.950226,0.945987,194,11,210,12
0.936768,0.910798,0.962617,0.936707,194,8,206,19
0.932084,0.886256,0.976852,0.931554,187,5,211,24
0.934426,0.981132,0.888372,0.934752,208,24,191,4
0.93911,0.93578,0.942584,0.939182,204,12,197,14
0.929742,0.951965,0.90404,0.928003,218,19,179,11
0.943794,0.940367,0.947368,0.943868,205,11,198,13
0.948478,0.953191,0.942708,0.94795,224,11,181,11
0.962529,0.957082,0.969072,0.963077,223,6,188,10
0.873536,0.995413,0.746411,0.870912,217,53,156,1
0.936768,0.905405,0.970732,0.938069,201,6,199,21
0.9274,0.90393,0.954545,0.929238,207,9,189,22
0.9274,0.913462,0.940639,0.92705,190,13,206,18
0.955504,0.955947,0.955,0.955474,217,9,191,10
0.969555,0.963134,0.97619,0.969662,209,5,205,8
0.936768,0.954128,0.91866,0.936394,208,17,192,10
0.953162,0.936073,0.971154,0.953613,205,6,202,14
0.934426,0.955752,0.910448,0.9331,216,18,183,10
0.957845,0.953488,0.962264,0.957876,205,8,204,10
0.95082,0.975,0.929515,0.952258,195,16,211,5
0.943794,0.910448,0.973451,0.94195,183,6,220,18
0.95082,0.961039,0.938776,0.949907,222,12,184,9
0.946136,0.939535,0.95283,0.946183,202,10,202,13
0.934426,0.963134,0.904762,0.933948,209,20,190,8
0.948478,0.954128,0.942584,0.948356,208,12,197,10
0.941452,0.906863,0.973094,0.939978,185,6,217,19
0.941452,0.955556,0.925743,0.940649,215,15,187,10
0.929742,0.907489,0.955,0.931244,206,9,191,21
0.95082,0.95045,0.95122,0.950835,211,10,195,11
0.948478,0.964126,0.931373,0.947749,215,14,190,8
0.93911,0.903226,0.97619,0.939708,196,5,205,21
0.93911,0.967742,0.909524,0.938633,210,19,191,7
0.948478,0.940092,0.957143,0.948618,204,9,201,13
0.932084,0.920561,0.943662,0.932111,197,12,201,17
0.943794,0.931193,0.956938,0.944065,203,9,200,15
0.941452,0.947867,0.935185,0.941526,200,14,202,11
0.850117,1,0.700935,0.850467,213,64,150,0
0.934426,0.918182,0.951691,0.934936,202,10,197,18
0.936768,0.97619,0.898618,0.937404,205,22,195,5
0.957845,0.980488,0.936937,0.958712,201,14,208,4
0.934426,0.949541,0.91866,0.934101,207,17,192,11
0.941452,0.947368,0.934673,0.941021,216,13,186,12
0.962529,0.953488,0.971698,0.962593,205,6,206,10
0.936768,0.941964,0.931034,0.936499,211,14,189,13
0.93911,0.948113,0.930233,0.939173,201,15,200,11
0.946136,0.961353,0.931818,0.946585,199,15,205,8
0.95082,0.974619,0.930435,0.952527,192,16,214,5
0.9274,0.882927,0.968468,0.925698,181,7,215,24
0.955504,0.966019,0.945701,0.95586,199,12,209,7
0.946136,0.948052,0.943878,0.945965,219,11,185,12
0.941452,0.956311,0.927602,0.941956,197,16,205,9
0.960187,0.970874,0.950226,0.96055,200,11,210,6
0.929742,0.964286,0.900433,0.932359,189,23,208,7
0.93911,0.913462,0.96347,0.938466,190,8,211,18
0.955504,0.948837,0.962264,0.955551,204,8,204,11
0.95082,0.972851,0.927184,0.950018,215,15,191,6
0.946136,0.950893,0.940887,0.94589,213,12,191,11
0.941452,0.9375,0.945813,0.941656,210,11,192,14
0.93911,0.972222,0.905213,0.938718,210,20,191,6
0.946136,0.975124,0.920354,0.947739,196,18,208,5
0.943794,0.943396,0.944186,0.943791,200,12,203,12
0.918033,0.9819,0.849515,0.915708,217,31,175,4
0.941452,0.990566,0.893023,0.941795,210,23,192,2
0.892272,0.990698,0.792453,0.891575,213,44,168,2
0.934426,0.971154,0.899543,0.935349,202,22,197,6
0.964871,0.970588,0.957672,0.96413,231,8,181,7
0.943794,0.949074,0.938389,0.943731,205,13,198,11
0.946136,0.931034,0.959821,0.945428,189,9,215,14
0.93911,0.902913,0.972851,0.937882,186,6,215,20
0.948478,0.946078,0.950673,0.948376,193,11,212,11
0.932084,0.90583,0.960784,0.933307,202,8,196,21
0.95082,0.944954,0.956938,0.950946,206,9,200,12
0.9274,0.96729,0.887324,0.927307,207,24,189,7
0.932084,0.892019,0.971963,0.931991,190,6,208,23
0.941452,0.931818,0.951691,0.941755,205,10,197,15
0.908665,0.985782,0.833333,0.909558,208,36,180,3
0.929742,0.90566,0.953488,0.929574,192,10,205,20
0.88993,0.985,0.806167,0.895584,197,44,183,3
0.925059,0.867299,0.981481,0.92439,183,4,212,28
0.948478,0.932039,0.963801,0.94792,192,8,213,14
0.929742,0.922705,0.936364,0.929534,191,14,206,16
0.934426,0.894273,0.98,0.937137,203,4,196,24
0.932084,0.890476,0.97235,0.931413,187,6,211,23
0.948478,0.982759,0.907692,0.945225,228,18,177,4
0.943794,0.980769,0.908676,0.944723,204,20,199,4
0.9274,0.958525,0.895238,0.926882,208,22,188,9
0.906323,0.995327,0.816901,0.906114,213,39,174,1
0.911007,0.96729,0.85446,0.910875,207,31,182,7
0.93911,0.990291,0.891403,0.940847,204,24,197,2
0.932084,0.908654,0.954338,0.931496,189,10,209,19
0.93911,0.977273,0.898551,0.937912,215,21,186,5
0.936768,0.928571,0.9447,0.936636,195,12,205,15
0.95082,0.963303,0.937799,0.950551,210,13,196,8
