Threshold,TPR,FPR
0,1,1
0.01,1,1
0.02,1,1
0.03,1,1
0.04,1,1
0.05,1,1
0.06,1,1
0.07,1,1
0.08,0.978261,0.138776
0.09,0.978261,0.128571
0.1,0.976285,0.128571
0.11,0.976285,0.128571
0.12,0.976285,0.128571
0.13,0.976285,0.128571
0.14,0.976285,0.128571
0.15,0.976285,0.128571
0.16,0.976285,0.128571
0.17,0.976285,0.128571
0.18,0.976285,0.128571
0.19,0.976285,0.12449
0.2,0.976285,0.12449
0.21,0.976285,0.12449
0.22,0.976285,0.12449
0.23,0.976285,0.12449
0.24,0.976285,0.12449
0.25,0.976285,0.12449
0.26,0.976285,0.12449
0.27,0.976285,0.12449
0.28,0.974308,0.12449
0.29,0.972332,0.12449
0.3,0.972332,0.12449
0.31,0.972332,0.12449
0.32,0.972332,0.12449
0.33,0.972332,0.12449
0.34,0.972332,0.12449
0.35,0.972332,0.12449
0.36,0.972332,0.118367
0.37,0.972332,0.118367
0.38,0.972332,0.118367
0.39,0.972332,0.118367
0.4,0.972332,0.118367
0.41,0.972332,0.118367
0.42,0.972332,0.118367
0.43,0.972332,0.118367
0.44,0.972332,0.118367
0.45,0.972332,0.118367
0.46,0.972332,0.118367
0.47,0.972332,0.114286
0.48,0.972332,0.114286
0.49,0.972332,0.114286
0.5,0.972332,0.114286
0.51,0.972332,0.114286
0.52,0.972332,0.114286
0.53,0.972332,0.114286
0.54,0.972332,0.114286
0.55,0.970356,0.114286
0.56,0.970356,0.114286
0.57,0.970356,0.114286
0.58,0.968379,0.114286
0.59,0.968379,0.114286
0.6,0.968379,0.114286
0.61,0.968379,0.114286
0.62,0.968379,0.114286
0.63,0.968379,0.108163
0.64,0.968379,0.108163
0.65,0.968379,0.108163
0.66,0.968379,0.108163
0.67,0.968379,0.108163
0.68,0.968379,0.108163
0.69,0.968379,0.108163
0.7,0.968379,0.108163
0.71,0.968379,0.104082
0.72,0.968379,0.104082
0.73,0.968379,0.1
0.74,0.968379,0.1
0.75,0.968379,0.0938776
0.76,0.968379,0.0938776
0.77,0.968379,0.0938776
0.78,0.968379,0.0877551
0.79,0.968379,0.0877551
0.8,0.968379,0.0877551
0.81,0.968379,0.0877551
0.82,0.966403,0.0877551
0.83,0.966403,0.0877551
0.84,0.966403,0.0877551
0.85,0.966403,0.0877551
0.86,0.966403,0.0877551
0.87,0.966403,0.0877551
0.88,0.964427,0.0877551
0.89,0.964427,0.0877551
0.9,0.962451,0.0836735
0.91,0.962451,0.0836735
0.92,0.962451,0.0836735
0.93,0.960474,0.0693878
0.94,0,0
0.95,0,0
0.96,0,0
0.97,0,0
0.98,0,0
0.99,0,0
