编号,性别 男1女0,籍贯,身高(cm),体重(kg),鞋码,50米成绩,肺活量,喜欢颜色,喜欢运动,喜欢文学
495,0,河北,162.0,46.0,37.0,8.3,2800,粉,1.0,1.0
135,1,河南,175.0,63.0,41.0,7.6,5300,蓝,0.0,0.0
391,0,河南商丘,160.0,55.0,36.5,8.3,2800,灰白蓝紫,1.0,1.0
729,0,安徽,150.0,46.0,36.0,9,2400,绿,1.0,1.0
829,0,江西,164.0,52.0,37.0,9.2,2800,绿,1.0,1.0
345,0,四川,161.0,46.0,37.0,9,2700,绿,0.0,0.0
279,1,贵州,180.0,100.0,43.0,9.1,4000,蓝,1.0,0.0
744,1,山东,178.0,70.0,42.0,7.8,4400,紫,0.0,1.0
655,1,重庆,172.0,62.0,43.0,8，8,5300,白,1.0,0.0
390,1,浙江嘉兴,175.0,60.0,42.5,6.4,4200,黑，白,1.0,1.0
7,0,河南,160.0,46.0,38.0,9,2500,白,1.0,1.0
669,0,黑龙江,172.0,65.0,39.0,9,3600,紫,1.0,1.0
678,1,四川,180.0,60.0,42.0,7.2,3200,蓝,0.0,0.0
214,0,湖北,167.0,50.0,38.0,10,4000,粉,1.0,0.0
852,0,四川,168.0,54.0,39.0,9.2,2800,黄,0.0,1.0
652,1,山西,176.0,67.0,44.5,7.8,4700,黑,1.0,1.0
289,0,安徽,161.0,53.0,36.0,8.8,2800,蓝,1.0,0.0
357,1,四川德阳,183.0,80.0,44.0,7,6000,粉,1.0,1.0
409,1,广东信宜,168.0,63.0,42.0,7.7,3800,蓝色,1.0,
372,0,重庆,161.0,54.0,37.0,8.2,3750,粉,1.0,1.0
270,1,四川,175.0,80.0,42.0,8.2,5000,黑,0.0,0.0
774,1,河南,188.0,62.0,43.0,8.5,4800, 蓝,0.0,0.0
30,1,四川,170.0,57.0,42.0,7,4000,白,1.0,1.0
505,0,四川,160.0,56.0,37.0,10,2000,粉,1.0,0.0
853,1,江苏,179.0,70.0,43.0,7.4,4900,蓝,1.0,1.0
