Features,Actual,Predicted
"173,70,39,7.9",1,0
"165,60,39,7.4",0,1
"169,65,40,7.9",0,1
"170,70,39,8.23",1,0
"165,49,39,7.2",0,1
"168,45,40,6",0,1
"169,65,40,7.9",0,1
"173,52,40,7.8",1,0
"166,58,39,8",1,0
"167,70,37,8",1,0
"178,62,41,9",1,0
"183,72,43,9",1,0
"169,65,40,7.9",0,1
"181,67,43,9",1,0
"176,61,42,10",1,0
"172,50,40,7.5",1,0
"183,67,40,8.1",1,0
"184,61,41,7.2",1,0
"173,80,41,10",1,0
"187,70,42,7.8",1,0
"184,67,43,9",1,0
"174,60,38.5,7.2",1,0
"175,52,40,7.2",1,0
"165,60,39,7.4",0,1
"168,65,39,7.9",1,0
"175,59,41,8.1",1,0
"165,49,39,7.2",0,1
"168,45,40,6",0,1
