编号,性别 男1女0,籍贯,身高(cm),体重(kg),鞋码,50米成绩,肺活量,喜欢颜色,喜欢运动,喜欢文学
64,1.0,山东,175.0,95.0,43.0,,,黑,0.0,1.0
356,1.0,山东聊城,177.0,68.0,42.0,,,橙，蓝，黑,0.0,1.0
363,1.0,四川成都,200.0,200.0,38.0,10.0,2000,青,1.0,1.0
403,0.0,山东东营,160.0,52.0,38.0,,3200,蓝 红 黑,0.0,1.0
416,0.0,河南安阳,158.0,57.0,38.0,,×,红黄白,0.0,1.0
655,1.0,重庆,172.0,62.0,43.0,,5300,白,1.0,0.0
712,1.0,广东,179.0,80.0,43.0,,,黑,0.0,0.0
745,1.0,四川,167.0,65.0,41.0,,,蓝色,0.0,1.0
771,0.0,云南,160.0,50.0,,10.0,3800,蓝,1.0,1.0
802,1.0,陈礼轩,176.0,,,,,,,
845,1.0,河北,184.0,87.0,45.0,,5000,灰,1.0,1.0
877,0.0,山西,160.0,55.0,37.5,,4000,天空蓝,1.0,0.0
913,1.0,北京,178.0,59.0,58.0,8.0,4000,绿色,0.0,0.0
403,0.0,山东东营,160.0,52.0,38.0,,3200,蓝 红 黑,0.0,1.0
416,0.0,河南安阳,158.0,57.0,38.0,,×,红黄白,0.0,1.0
771,0.0,云南,160.0,50.0,,10.0,3800,蓝,1.0,1.0
877,0.0,山西,160.0,55.0,37.5,,4000,天空蓝,1.0,0.0
403,0.0,山东东营,160.0,52.0,38.0,,3200,蓝 红 黑,0.0,1.0
416,0.0,河南安阳,158.0,57.0,38.0,,×,红黄白,0.0,1.0
771,0.0,云南,160.0,50.0,,10.0,3800,蓝,1.0,1.0
877,0.0,山西,160.0,55.0,37.5,,4000,天空蓝,1.0,0.0
403,0.0,山东东营,160.0,52.0,38.0,,3200,蓝 红 黑,0.0,1.0
416,0.0,河南安阳,158.0,57.0,38.0,,×,红黄白,0.0,1.0
771,0.0,云南,160.0,50.0,,10.0,3800,蓝,1.0,1.0
