Accuracy,Sensitivity,Specificity,AUC,TP,FP,TN,FN
0.96875,0.962655602,0.974895397,0.993155745,696,18,699,27
0.96875,0.962655602,0.974895397,0.993149958,696,18,699,27
0.96875,0.962655602,0.974895397,0.99322712,696,18,699,27
0.96875,0.962655602,0.974895397,0.993121023,696,18,699,27
0.96875,0.962655602,0.974895397,0.993190468,696,18,699,27
0.96875,0.962655602,0.974895397,0.993306211,696,18,699,27
0.96875,0.962655602,0.974895397,0.993192397,696,18,699,27
0.96875,0.962655602,0.974895397,0.993176965,696,18,699,27
0.96875,0.962655602,0.974895397,0.993163462,696,18,699,27
0.96875,0.962655602,0.974895397,0.993242552,696,18,699,27
0.96875,0.962655602,0.974895397,0.993111377,696,18,699,27
0.96875,0.962655602,0.974895397,0.993129703,696,18,699,27
0.96875,0.962655602,0.974895397,0.993144171,696,18,699,27
0.96875,0.962655602,0.974895397,0.993153816,696,18,699,27
0.96875,0.962655602,0.974895397,0.993200113,696,18,699,27
0.96875,0.962655602,0.974895397,0.993155745,696,18,699,27
0.96875,0.962655602,0.974895397,0.993128739,696,18,699,27
0.96875,0.962655602,0.974895397,0.993107519,696,18,699,27
0.96875,0.962655602,0.974895397,0.993153816,696,18,699,27
0.96875,0.962655602,0.974895397,0.993198184,696,18,699,27
0.96875,0.962655602,0.974895397,0.993149958,696,18,699,27
0.96875,0.962655602,0.974895397,0.9931461,696,18,699,27
0.96875,0.962655602,0.974895397,0.993113306,696,18,699,27
0.96875,0.962655602,0.974895397,0.993221333,696,18,699,27
0.96875,0.962655602,0.974895397,0.993168284,696,18,699,27
0.96875,0.962655602,0.974895397,0.993102697,696,18,699,27
0.96875,0.962655602,0.974895397,0.993188539,696,18,699,27
0.96875,0.962655602,0.974895397,0.993202042,696,18,699,27
0.96875,0.962655602,0.974895397,0.993121023,696,18,699,27
0.96875,0.962655602,0.974895397,0.993142242,696,18,699,27
0.96875,0.962655602,0.974895397,0.993190468,696,18,699,27
0.96875,0.962655602,0.974895397,0.993202042,696,18,699,27
0.96875,0.962655602,0.974895397,0.993176965,696,18,699,27
0.96875,0.962655602,0.974895397,0.993161533,696,18,699,27
0.96875,0.962655602,0.974895397,0.993153816,696,18,699,27
0.96875,0.962655602,0.974895397,0.993165391,696,18,699,27
0.96875,0.962655602,0.974895397,0.993134526,696,18,699,27
0.96875,0.962655602,0.974895397,0.993229049,696,18,699,27
0.96875,0.962655602,0.974895397,0.993202042,696,18,699,27
0.96875,0.962655602,0.974895397,0.993100768,696,18,699,27
0.96875,0.962655602,0.974895397,0.993150923,696,18,699,27
0.96875,0.962655602,0.974895397,0.993134526,696,18,699,27
0.96875,0.962655602,0.974895397,0.993157674,696,18,699,27
0.96875,0.962655602,0.974895397,0.993132597,696,18,699,27
0.96875,0.962655602,0.974895397,0.993219404,696,18,699,27
0.96875,0.962655602,0.974895397,0.993178894,696,18,699,27
0.96875,0.962655602,0.974895397,0.993180823,696,18,699,27
0.96875,0.962655602,0.974895397,0.993219404,696,18,699,27
0.96875,0.962655602,0.974895397,0.993138384,696,18,699,27
0.96875,0.962655602,0.974895397,0.993184681,696,18,699,27
0.96875,0.962655602,0.974895397,0.993205901,696,18,699,27
0.96875,0.962655602,0.974895397,0.993200113,696,18,699,27
0.96875,0.962655602,0.974895397,0.993213617,696,18,699,27
0.96875,0.962655602,0.974895397,0.993097874,696,18,699,27
0.96875,0.962655602,0.974895397,0.993229049,696,18,699,27
0.96875,0.962655602,0.974895397,0.993138384,696,18,699,27
0.96875,0.962655602,0.974895397,0.993225191,696,18,699,27
0.96875,0.962655602,0.974895397,0.993140313,696,18,699,27
0.96875,0.962655602,0.974895397,0.993144171,696,18,699,27
0.96875,0.962655602,0.974895397,0.993151887,696,18,699,27
0.96875,0.962655602,0.974895397,0.99312681,696,18,699,27
0.96875,0.962655602,0.974895397,0.993252198,696,18,699,27
0.96875,0.962655602,0.974895397,0.993165391,696,18,699,27
0.96875,0.962655602,0.974895397,0.993200113,696,18,699,27
0.96875,0.962655602,0.974895397,0.993080513,696,18,699,27
0.96875,0.962655602,0.974895397,0.993169249,696,18,699,27
0.96875,0.962655602,0.974895397,0.9930863,696,18,699,27
0.96875,0.962655602,0.974895397,0.993117164,696,18,699,27
0.96875,0.962655602,0.974895397,0.993165391,696,18,699,27
0.96875,0.962655602,0.974895397,0.993188539,696,18,699,27
0.96875,0.962655602,0.974895397,0.9931461,696,18,699,27
0.96875,0.962655602,0.974895397,0.99318661,696,18,699,27
0.96875,0.962655602,0.974895397,0.993203972,696,18,699,27
0.96875,0.962655602,0.974895397,0.993138384,696,18,699,27
0.96875,0.962655602,0.974895397,0.993161533,696,18,699,27
0.96875,0.962655602,0.974895397,0.993196255,696,18,699,27
0.96875,0.962655602,0.974895397,0.993188539,696,18,699,27
0.96875,0.962655602,0.974895397,0.993169249,696,18,699,27
0.96875,0.962655602,0.974895397,0.993151887,696,18,699,27
0.96875,0.962655602,0.974895397,0.993202042,696,18,699,27
0.96875,0.962655602,0.974895397,0.993159603,696,18,699,27
0.96875,0.962655602,0.974895397,0.993169249,696,18,699,27
0.96875,0.962655602,0.974895397,0.993138384,696,18,699,27
0.96875,0.962655602,0.974895397,0.99316732,696,18,699,27
0.96875,0.962655602,0.974895397,0.9931461,696,18,699,27
0.96875,0.962655602,0.974895397,0.993138384,696,18,699,27
0.96875,0.962655602,0.974895397,0.993175036,696,18,699,27
0.96875,0.962655602,0.974895397,0.99320783,696,18,699,27
0.96875,0.962655602,0.974895397,0.993178894,696,18,699,27
0.96875,0.962655602,0.974895397,0.993190468,696,18,699,27
0.96875,0.962655602,0.974895397,0.993119094,696,18,699,27
0.96875,0.962655602,0.974895397,0.993180823,696,18,699,27
