Accuracy,Sensitivity,Specificity,AUC,TP,FP,TN,FN
0.95,0.97648686,0.923291492,0.990513917,706,55,662,17
0.95,0.97648686,0.923291492,0.990531279,706,55,662,17
0.95,0.97648686,0.923291492,0.990592043,706,55,662,17
0.95,0.97648686,0.923291492,0.990372132,706,55,662,17
0.95,0.97648686,0.923291492,0.990317154,706,55,662,17
0.95,0.97648686,0.923291492,0.990358629,706,55,662,17
0.95,0.97648686,0.923291492,0.990514882,706,55,662,17
0.95,0.97648686,0.923291492,0.990473407,706,55,662,17
0.95,0.97648686,0.923291492,0.990507165,706,55,662,17
0.95,0.97648686,0.923291492,0.990381777,706,55,662,17
0.95,0.97648686,0.923291492,0.990509094,706,55,662,17
0.95,0.97648686,0.923291492,0.990426146,706,55,662,17
0.95,0.97648686,0.923291492,0.990221667,706,55,662,17
0.95,0.97648686,0.923291492,0.990345126,706,55,662,17
0.95,0.97648686,0.923291492,0.990560214,706,55,662,17
0.95,0.97648686,0.923291492,0.990410713,706,55,662,17
0.95,0.97648686,0.923291492,0.990414571,706,55,662,17
0.95,0.97648686,0.923291492,0.990439649,706,55,662,17
0.95,0.97648686,0.923291492,0.990568895,706,55,662,17
0.95,0.97648686,0.923291492,0.990185979,706,55,662,17
0.95,0.97648686,0.923291492,0.990528385,706,55,662,17
0.95,0.97648686,0.923291492,0.99043772,706,55,662,17
0.95,0.97648686,0.923291492,0.990526456,706,55,662,17
0.95,0.97648686,0.923291492,0.99051874,706,55,662,17
0.95,0.97648686,0.923291492,0.990479194,706,55,662,17
0.95,0.97648686,0.923291492,0.990465691,706,55,662,17
0.95,0.97648686,0.923291492,0.990472443,706,55,662,17
0.95,0.97648686,0.923291492,0.990614227,706,55,662,17
0.95,0.97648686,0.923291492,0.99048691,706,55,662,17
0.95,0.97648686,0.923291492,0.990436755,706,55,662,17
0.95,0.97648686,0.923291492,0.990563108,706,55,662,17
0.95,0.97648686,0.923291492,0.990462797,706,55,662,17
0.95,0.97648686,0.923291492,0.990555392,706,55,662,17
0.95,0.97648686,0.923291492,0.990255425,706,55,662,17
0.95,0.97648686,0.923291492,0.990580469,706,55,662,17
0.95,0.97648686,0.923291492,0.990364416,706,55,662,17
0.95,0.97648686,0.923291492,0.99054864,706,55,662,17
0.95,0.97648686,0.923291492,0.99048884,706,55,662,17
0.95,0.97648686,0.923291492,0.990487875,706,55,662,17
0.95,0.97648686,0.923291492,0.990423252,706,55,662,17
0.95,0.97648686,0.923291492,0.990566966,706,55,662,17
0.95,0.97648686,0.923291492,0.990383707,706,55,662,17
0.95,0.97648686,0.923291492,0.990460868,706,55,662,17
0.95,0.97648686,0.923291492,0.990369239,706,55,662,17
0.95,0.97648686,0.923291492,0.990466655,706,55,662,17
0.95,0.97648686,0.923291492,0.990430004,706,55,662,17
