Accuracy,Sensitivity,Specificity,AUC,TP,FP,TN,FN
0.970138889,0.964038728,0.976290098,0.994787718,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994749137,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994697053,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994808938,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994795434,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994725989,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994670046,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994801221,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994785789,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994822441,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994774215,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994791576,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994768428,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994725989,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994812796,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994716343,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994689337,697,17,700,26
0.970138889,0.964038728,0.976290098,0.99468355,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994749137,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994826299,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994733705,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994795434,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994770357,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994756853,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994729847,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994749137,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994737563,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994641111,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994754924,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994733705,697,17,700,26
0.970138889,0.964038728,0.976290098,0.99476457,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994785789,697,17,700,26
0.970138889,0.964038728,0.976290098,0.99472406,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994803151,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994762641,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994797363,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994766499,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994754924,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994714414,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994781931,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994803151,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994758782,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994762641,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994656543,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994781931,697,17,700,26
0.970138889,0.964038728,0.976290098,0.99470284,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994710556,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994695124,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994766499,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994807009,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994747208,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994739492,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994712485,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994697053,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994795434,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994787718,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994772286,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994725989,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994797363,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994666188,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994766499,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994710556,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994780002,697,17,700,26
0.970138889,0.964038728,0.976290098,0.99472406,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994698982,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994770357,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994797363,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994762641,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994797363,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994758782,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994720202,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994816654,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994720202,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994778073,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994747208,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994681621,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994793505,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994766499,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994768428,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994671975,697,17,700,26
0.970138889,0.964038728,0.976290098,0.99470284,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994778073,697,17,700,26
0.970138889,0.964038728,0.976290098,0.99480508,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994766499,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994803151,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994698982,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994751066,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994727918,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994799292,697,17,700,26
0.970138889,0.964038728,0.976290098,0.99470284,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994785789,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994706698,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994808938,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994768428,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994675833,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994814725,697,17,700,26
0.970138889,0.964038728,0.976290098,0.99474335,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994741421,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994756853,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994712485,697,17,700,26
0.970138889,0.964038728,0.976290098,0.99472406,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994803151,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994762641,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994698982,697,17,700,26
0.970138889,0.964038728,0.976290098,0.99472406,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994720202,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994714414,697,17,700,26
0.970138889,0.964038728,0.976290098,0.99476457,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994745279,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994673904,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994793505,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994735634,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994735634,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994766499,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994766499,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994818583,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994725989,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994768428,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994768428,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994751066,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994747208,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994706698,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994725989,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994739492,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994791576,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994739492,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994807009,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994725989,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994760712,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994780002,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994681621,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994772286,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994774215,697,17,700,26
0.970138889,0.964038728,0.976290098,0.99476457,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994725989,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994752995,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994747208,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994745279,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994729847,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994708627,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994747208,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994747208,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994751066,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994781931,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994760712,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994741421,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994725989,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994793505,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994762641,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994739492,697,17,700,26
0.970138889,0.964038728,0.976290098,0.99476457,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994731776,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994668117,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994785789,697,17,700,26
0.970138889,0.964038728,0.976290098,0.99476457,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994826299,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994793505,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994758782,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994708627,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994785789,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994776144,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994791576,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994820512,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994658472,697,17,700,26
0.970138889,0.964038728,0.976290098,0.99476457,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994760712,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994725989,697,17,700,26
0.970138889,0.964038728,0.976290098,0.99482437,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994770357,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994791576,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994698982,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994780002,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994826299,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994735634,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994752995,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994737563,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994658472,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994749137,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994787718,697,17,700,26
0.970138889,0.964038728,0.976290098,0.99480508,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994785789,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994747208,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994731776,697,17,700,26
0.970138889,0.964038728,0.976290098,0.99478386,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994739492,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994770357,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994725989,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994816654,697,17,700,26
0.970138889,0.964038728,0.976290098,0.99470284,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994776144,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994760712,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994735634,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994781931,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994778073,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994650756,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994780002,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994799292,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994760712,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994760712,697,17,700,26
0.970138889,0.964038728,0.976290098,0.994760712,697,17,700,26
